运单编号,目的地,计费重量,总运费,备注
3307599784249,辽宁省,0.97,6.3,
3307599784237,内蒙古自治区,0.94,6.3,
3307599784225,天津,0.2,6.3,
3307599784298,黑龙江省,0.45,6.3,
3307599784286,广东省,1.1,6.93,
3307599493908,山东省,0.85,6.3,
3307599784255,山东省,1,6.3,
3307599784262,新疆维吾尔自治区,0.58,6.3,
3307599784316,山东省,0.43,6.3,
3307599784304,广东省,0.2,6.3,
3307599784274,广东省,0.75,6.3,
3307599493891,福建省,0.65,6.3,
3307630934030,广西壮族自治区,1.21,8.19,
3307628655643,广西壮族自治区,0.26,6.3,
3307628655655,江西省,0.23,6.3,
3307630216430,山东省,0.23,6.3,
3307630216441,湖北省,0.38,6.3,
3307630216453,海南省,0.2,6.3,
3307630216465,河北省,0.2,6.3,
3307630216477,福建省,0.25,6.3,
3307630216489,福建省,0.2,6.3,
3307630934016,广东省,0.27,6.3,
3307628655631,北京,0.2,6.3,
3307610600876,江西省,0.2,6.3,
3307610600864,湖北省,0.2,6.3,
3307610600852,湖北省,0.3,6.3,
3307610600845,河南省,0.42,6.3,
3307610600839,河北省,0.57,6.3,
3307610600827,湖北省,0.22,6.3,
3307610600815,宁夏回族自治区,0.88,6.3,
3307610600803,广东省,0.66,6.3,
3307650895825,山东省,0.35,6.3,
3307650895837,福建省,0.2,6.3,
3307627524875,广东省,0.2,6.3,
3307627920893,湖北省,0.2,6.3,
3307627524942,北京,0.25,6.3,
3307627524935,河南省,0.35,6.3,
3307627524929,广东省,0.2,6.3,
3307627524917,山东省,0.3,6.3,
3307627524905,山东省,0.2,6.3,
3307627524899,福建省,1.15,7.56,
3307627524887,湖北省,1.04,6.93,
3307628655620,广东省,0.2,6.3,
3307627524863,湖北省,1.04,6.93,
3307627524851,天津,0.82,6.3,
3307627920911,广东省,0.2,6.3,
3307627920923,江苏省,0.2,4,
3307627920935,广东省,0.2,6.3,
3307627920947,广东省,0.2,6.3,
3307628095432,江苏省,0.28,4,
3307628655606,吉林省,0.34,6.3,
3307628655618,天津,0.2,6.3,
3307602610081,湖北省,0.95,6.3,
3307605096227,江西省,0.45,6.3,
3307605096306,广东省,0.2,6.3,
3307605096290,广西壮族自治区,0.2,6.3,
3307605096288,天津,0.5,6.3,
3307605096276,宁夏回族自治区,0.71,6.3,
3307605096264,湖北省,0.2,6.3,
3307605096252,山东省,0.3,6.3,
